Country,Postal Code,State,University,altfooter,audience,auto-migrated,city,code_repositories,country,currency,dates,displaytext,download_links,headerimage,lang,layout,leaders,leaders_list,level,license,maintenance,meeting-plaform,meeting-platform,meetup,meetup group,meetup-group,order,permalink,pitch,postal-code,pricing,project,project_classification,redirect_from,ref,region,repo,sidebar_type,site_side,social_facebook,social_linkedin,social_meetup,social_twitter,social_youtube,source_file,spnews,state,tabtext,tag,tags,title,type,url,video1,video2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/secure-coding-practices-quick-reference-guide,,,,,,,,,,,,,,,,,,
,,,,,"Breaker, Builder",,,"https://github.com/lutfumertceylan/top25-parameter, https://github.com/lutfumertceylan/top25-parameter/zipball/master",,,,,https://github.com/lutfumertceylan/top25-parameter/zipball/master,,,col-sidebar,,Lütfü Mert Ceylan,2,Apache 2.0,,,,,,,,,"For basic researches, top 25 vulnerability parameters that can be used in automation tools or manual recon.",,,,Incubator,,,,OWASP/www-project-top-25-parameters,Documentation,,,,,,,"index.md, info.md, leaders.md",,,,,top25,OWASP Top 25 Parameters,documentation,,,
,,,,,,,,,,,,,,,,col-sidebar,,"Ulbossyn Balykbayeva, Olga Chikanayeva",,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-astana,,,,https://www.linkedin.com/groups/9310720,,,,"index.md, info.md, leaders.md",,,,,owasp-kz,OWASP Astana,,,,
,,,,,"Breaker, Builder, Defender",,,https://github.com/CervantesSec,,,,,,,,col-sidebar,,Ruben Mesquida,2,,,,,,,,,,"Cervantes is an opensource collaborative platform for pentesters or red teams who want to save time to manage their projects, clients, vulnerabilities and reports in one place.",,,,Incubator,,,,OWASP/www-project-cervantes,Tool,,,,,https://twitter.com/Cervantes_Sec,https://www.youtube.com/@cervantessec8047,"index.md, info.md, leaders.md",,,,,cervantes,OWASP Cervantes,tool,,,
,,,,,"Builder, Defender",,,https://github.com/OWASP/www-project-smart-contract-top-10,,,,,,,,col-sidebar,,"Jinson Varghese Behanan, Shashank",2,CC BY,,,,,,,,,Welcome to the OWASP Top Ten for Smart Contracts,,,,Incubator,,,,OWASP/www-project-smart-contract-top-10,Documentation,,,,,,,"index.md, info.md, leaders.md",,,,,smartcontract,OWASP Smart Contract Top 10,documentation,,,
,,,,,,,,,,,,,,,,event-x,,,,,,,,,,,,,,,,,,,,,OWASP/www-event-2023-Global-AppSec-DC,,,,,,,,index.md,,,,,,Global AppSec DC 2023,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Dr. A. Neela Madheswari, Athesh Pargau R, Deepak Ravi, Srinivasan Venkatesh",,,,,,,owasp-mahendra-engineering-college-student-chapter,,,,,,,,,,,Asia,OWASP/www-chapter-mahendra-engineering-college,,,,https://www.linkedin.com/company/owasp-mahendra-engineering-college/,https://www.meetup.com/owasp-mahendra-engineering-college-student-chapter/,,,"index.md, info.md, leaders.md",,,,,,OWASP Mahendra Engineering College Student Chapter,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,,,,,,,,,owasp-jct-college-of-engineering-and-technology,,,,,,,,,,Asia,OWASP/www-chapter-jct-college-of-engineering-and-technology,,,,https://www.linkedin.com/in/owasp-jct-cet-9186a5269,https://www.meetup.com/owasp-jct-college-of-engineering-and-technology/,https://twitter.com/owasp_jct?t=PlsjcxjhvXZSSXsfpoXBsg&s=09,,"index.md, info.md, leaders.md",,,,,COIMATORE OWASP JCT,OWASP JCT College of Engineering and Technology,,,,
,,,,,,,,https://github.com/OWASP/www-project-ide-vulscanner,,,,,https://github.com/OWASP/www-project-ide-vulscanner,,,col-sidebar,,Jitu Ranjan,2,,,,,,,,,,Checks code vulnerability during implementation phase,,,,,,,,OWASP/www-project-ide-vulscanner,,,,,,,,"index.md, info.md, leaders.md",,,,,,OWASP IDE-VulScanner,,,,
,,,,,"Breaker, Builder, Defender",,,https://github.com/OWASP/www-project-devsecops-top-10,,,,,#,,,col-sidebar,,Milan Singh Thakur,2,,,,,,,,,,Top 10 categories for your DevSecOps Landscape,,,,Incubator,,,,OWASP/www-project-devsecops-top-10,,,,,,,,"index.md, info.md, leaders.md",,,,,"devsecops, top10, devops, owasp, devsecops-top-10",OWASP DevSecOps Top 10,documentation,,,
,,,,,,,,,,,,,#,,,col-sidebar,,Sagar Bhure,2,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-ebpfshield,,,,,,,,"index.md, info.md, leaders.md",,,,,ebpf-tag,OWASP eBPFShield,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Divyanshu Shukla,2,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-cognito-catastrophe,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Cognito Catastrophe,,,,
,,,,,"Breaker, Defender",,,,,,,,,,,col-sidebar,,"Hamed Salimian, AmirHossein Raeisi",2,,,,,,,,,,This project aims to develop nuclei templates for evaluating OWASP Application Security Verification Standard (ASVS) on websites.,,,,Incubator,,,,OWASP/www-project-asvs-security-evaluation-templates-with-nuclei,,,,,,,,"index.md, info.md, leaders.md",,,,,asvs-security-evaluation-templates-with-nuclei nuclei nuclei-templates ASVS asvs-evaluation PoC-generator vulnerablity automation WSTG pentest,OWASP ASVS Security Evaluation Templates with Nuclei,tool,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,"Ali Yazdani, Milan Singh Thakur",2,,,,,,,,,,The OWASP DevSecOps Project gives you clarity and indepth view of DevSecOps Umbrella,,,,Incubator,,,,OWASP/www-project-devsecops,,,,,,,,"index.md, info.md, leaders.md",,,,,devsecops,OWASP DevSecOps,other,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Sagar Bhure,2,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-machine-learning-minefield,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Machine Learning Minefield,,,,
,,,,,"Builder, Defender",,,https://github.com/OWASP/cumulus,,,,,https://github.com/OWASP/cumulus/releases/latest,,,col-sidebar,,"Christoph Niehoff, Benjamin Goose",2,CC BY,,,,,,,,,Cumulus. Threat Modeling the Clouds.,,,,Lab,,,,OWASP/www-project-cumulus,Tool,,,,,,,"index.md, info.md, leaders.md",,,,,cumulus,OWASP Cumulus,documentation,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-barasat,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Barasat,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,"Brian Glas, Daniel Ting",2,,,,,,,,,,A community project to support the data analysis and visualization needs of open source projects.,,,,Incubator,,,,OWASP/www-project-data-analysis-visualization-and-ingestion-domain,,,,,,,,"index.md, info.md, leaders.md",,,,,data analysis ingestion visualization david,OWASP Data Analysis Visualization and Ingestion Domain (DAVID),tool,,,
,,,,,,,,https://github.com/OWASP/www-chapter-hawaii,USA,,,,,,,col-sidebar,,"Shereen Gustad, Kinnaird McQuade",,,,,,,,owasp-maui,,,,96761,,,,,,North America,OWASP/www-chapter-maui,,,,,https://www.meetup.com/owasp-maui/,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Maui,,,,
,,,,,,,,,,,,,,,,event-x,,,,,,,,,,,,,,,,,,,,,OWASP/www-event-2023-event-template,,,,,,,,index.md,,,,,,Global AppSec Template 2023,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-sharda-university-student-chapter,,,,,,,,"index.md, info.md, leaders.md",,,,,owasp_su,OWASP Sharda University Student Chapter,,,,
,,,,,"Breaker, Builder",,,https://github.com/OWASP/www-project-blockchain-appsec-standard,,,,,#,,,col-sidebar,,"Jon McCoy, Didar Gelici, Zoe Braiterman",2,,,,,,,,,,We focus on security of in blockchain and web3 and share our knowledge on attack vectors and defense mechanisms. We strongly encourage your contribution to these topics and content.,,,,Incubator,,,,OWASP/www-project-blockchain-appsec-standard,,,,,,,,"index.md, info.md, leaders.md",,,,,blockchain cryptocurrency blockchain web3,OWASP Blockchain AppSec Standard,documentation,,,
,,,,,,,,,,,,,,,,event-x,,,,,,,,,,,,,,,,,,,,,OWASP/www-event-2023-Global-AppSec-Singapore,,,,,,,,index.md,,,,,,Global AppSec Singapore 2023,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/OEAD,,,,,,,,,,,,,,,,,,
,,,,,,,,https://github.com/OWASP/www-chapter-tallinn,Estonia,,,,,,,col-sidebar,,"Stefano Amorelli, Darja Dovbõš",,,,,,,,owasp-tallinn-chapter,,,,,,,,,,Europe,OWASP/www-chapter-tallinn,,,,https://www.linkedin.com/company/owasp-tallinn,,https://twitter.com/OWASPtallinn,,"index.md, info.md, leaders.md",,,,,tallinn,OWASP Tallinn,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Dr. Arun Saxena, Nihal Tiwari, Srinivas Mahtolia, Akhlak Ansari",,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-st.-john-college-of-engineering-and-management,,,,https://www.linkedin.com/company/owasp-sjcem/,https://www.meetup.com/owasp-st-john-college-of-engineering-and-management-chapter/,https://twitter.com/OWASP__SJCEM,,"index.md, info.md, leaders.md",,,,,Palghar,OWASP St. John College of Engineering and Management,,,,
,,,,,,,,,,,,,,,,,,Yoshiaki Yasuda,,,,,,,,,,,,,,,,,,,OWASP/www-project-mobile-application-security-design-guide,,,,,,,,leaders.md,,,,,,,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-gautam-buddha-university,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Gautam Buddha University,,,,
,,,,,"Breaker, Builder",,,https://github.com/fourcloverorg/FourClover,,,,,,,,col-sidebar,,Vaishno Chaitanya,2,Apache 2.0,,,,,,,,,"OWASP Four Clover is your vigilant guardian against file tampering, delivering comprehensive integrity monitoring with customizable scans and policy enforcement.",,,,Incubator,,,,OWASP/www-project-four-clover,Tool,,,,,,,"index.md, info.md, leaders.md",,,,,"file integrity monitoring, cybersecurity tool, OWASP Four Clover, hash algorithms, policy enforcement",OWASP Four Clover,tool,,,
,,,,,,,,,,,,,,,,col-sidebar,,"Gagan Raj, Abhishek Nair, Vinayak Sathe",,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-dy-patil-international-university,,,,,,,,"index.md, info.md, leaders.md",,,,,DYPIU,OWASP DY Patil International University,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-owasp-chandigarh-chapter,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP OWASP Chandigarh Chapter,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Amandeep Kaur (Advisor), Chirag Saini, Gagandeep Sodhi",,,,,,,,https://www.meetup.com/owasp-chandigarh-university-student-chapter/,,,,,,,,,,Asia,OWASP/www-chapter-chandigarh-university,,,,,https://www.meetup.com/owasp-chandigarh-university-student-chapter/,,,"index.md, info.md, leaders.md",,,,,Chandigarh University India,OWASP Chandigarh University,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/vulnerable-container-hub,,,,,,,,,,,,,,,,,,
,,,,,,,,"https://github.com/OWASP/www-project-top-10-for-large-language-model-applications, https://github.com/OWASP/www-project-top-10-for-large-language-model-applications/wiki",,,,,,,,col-sidebar,,,2,,,,,,,,,,"Aims to educate developers, designers, architects, managers, and organizations about the potential security risks when deploying and managing Large Language Models (LLMs)",,,,,,,,OWASP/www-project-top-10-for-large-language-model-applications,,,,https://www.linkedin.com/in/wilsonsd/,,https://twitter.com/virtualsteve,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Top 10 for Large Language Model Applications,documentation,,,
,,,,,"Breaker, Builder, Defender",,,https://github.com/OWASP/OSIB,,,,,https://github.com/OWASP/OSIB,,,col-sidebar,,Torsten Gigler,2,,,,,,,,,,"The project delivers MkDocs macros that provide a central management of links in MkDocs documents. This includes the versioning of links inside a project, standard or a group of documents and to external sources.",,,,Incubator,,,,OWASP/www-project-open-security-information-base,Tool,,,,,,,"index.md, info.md, leaders.md",,,,,OWASP-Projects OWASP-Top10 standards integration appsec application-security attackers builders defenders,OWASP Open Security Information Base,"code, documentation",,,
,,,,,,,,,Portugal,,,,,,,col-sidebar,,"Paulo Silva, Rui Silva",,,,,,,,owasp-beja-chapter,,,,,,,,,,Europe,OWASP/www-chapter-beja,,,,,,,,"index.md, info.md, leaders.md",,,,,pastevents-tag,OWASP Beja,,,,
,,,,,,,,,,,,,,,,,,Alex Devassy,,,,,,,,,,,,,,,,,,,OWASP/SAPKiln,,,,,,,,leaders.md,,,,,,,,,,
,,,,,"Builder, Defender",,,https://github.com/OWASP/owasp-whid,,,,,https://docs.google.com/spreadsheets/d/1xZPAw1uCdLqDz8F_Vz57DRvCNJTcCnPgtG7P-yeloUc/edit?usp=sharing,,,col-sidebar,,"Ryan Barnett, 4ng3l hacker",,,,,,,,,,,WHID tracks public news stories of web application compromises.,,,,Incubator,,,,OWASP/www-project-web-hacking-incident-database,Documentation,,,,,https://twitter.com/OWASPWHID,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Web Hacking Incident Database,documentation,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/cumulus,,,,,,,,,,,,,,,,,,
,,,,,Defender,,,https://github.com/abhijitio/OWASP-KubeFIM,,,,,https://github.com/abhijitio/OWASP-KubeFIM,,,col-sidebar,,Abhijit Chatterjee,2,Apache 2.0,,,,,,,,,OWASP KubeFIM is an eBPF based Kubernetes File Integrity Monitoring solution.,,,,Incubator,,,,OWASP/www-project-kubefim,Code,,,,,,,"index.md, info.md, leaders.md",,,,,kubefim kubernetes FIM,OWASP KubeFIM,Code,,,
,,,,,,,,,USA,,,,,,,col-sidebar,,"Alexander Iliev, Michael Asamoah",,,,,,,,owasp-des-plaines-chapter,,,,,,,,,,North America,OWASP/www-chapter-des-plaines,,,https://www.facebook.com/people/OWASP-Des-Plaines/100094730052101/,https://www.linkedin.com/company/owasp-des-plaines-chapter/,https://www.meetup.com/owasp-des-plaines-chapter/,,https://www.youtube.com/@OWASPDesPlaines,"index.md, info.md, leaders.md",,,,,event-tag,OWASP Des Plaines,,,,
,,,,,"Builder, Defender",,,https://github.com/ntoskernel/deepsecrets,,,,,,,,col-sidebar,,Nikolai Khechumov,3.5,,,,,,,,,,Secrets scanner that understands code,,,True,Production,,,,OWASP/www-project-deepsecrets,Tool,,,,,,,"index.md, info.md, leaders.md",,,,,deepsecrets,OWASP DeepSecrets,tool,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-baddi,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Baddi,,,,
,,,,,"Breaker, Builder, Defender",,,https://github.com/OWASP/security-bridge,,,,,,,,col-sidebar,,"Tuyen Do, Sven Schleier",2,Creative Commons,,,,,,,,,Security Bridge is aiming to build bridges in our community to not only talk and learn about application security but also the daily challenges we are facing that are non-technical.,,,,Incubator,,,,OWASP/www-project-security-bridge,Documentation,,,,,,,"index.md, info.md, leaders.md",,,,,"resilience, mental health,",OWASP Security Bridge,documentation,,,
,,,,,,,,,India,,,,,,,col-sidebar,,,,,,,,,,OWASP-National-Institute-Of-Engineering-Mysuru Chapter,,,,,,,,,,Asia,OWASP/www-chapter-national-institute-of-engineering-mysuru,,,,https://www.linkedin.com/company/owasp-nie-mysuru-student-chapter/,,,,"index.md, info.md, leaders.md",,,,,NIE,OWASP National Institute of Engineering Mysuru,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-tiruppur,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Tiruppur,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,,,,,,,,,owasp-kaithal-chapter,,,,,,,,,,Asia,OWASP/www-chapter-kaithal,,,,https://www.linkedin.com/company/owasp-kaithal/,https://www.meetup.com/owasp-kaithal-chapter/,,,"index.md, info.md, leaders.md",,,,,OWASP Kaithal,OWASP Kaithal,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,North America,OWASP/www-chapter-montgomery,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Montgomery,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/WAFEC,,,,,,,,,,,,,,,,,,
,,,,,,,,https://github.com/OWASP/www-project-api-governance,,,,,#,,,col-sidebar,,Jitu Ranjan,,,,,,,,,,,,,,,,,,,OWASP/www-project-api-governance,,,,,,,,"index.md, info.md, leaders.md",,,,,,OWASP API Governance,,,,
,,,,,"Breaker, Builder",,,,,,,,,,,col-sidebar,,Chetan Karande,2,,,,,,,,,,A Playground for LLM Application Hacking and Defensive Techniques,,,,Incubator,,,,OWASP/www-project-llm-prompt-hacking,,,,,,,,"index.md, info.md, leaders.md",,,,,deliverables-tag,OWASP LLM Prompt Hacking,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,Dr. Vidyadhari Singh,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-thakur-college-of-engineering-and-technology,,,,,https://www.meetup.com/owasp-tcet-chapter,,,"index.md, info.md, leaders.md",,,,,OWASP TCET,OWASP TCET (Thakur College of Engineering and Technology),,,,
,,,,,,,,,Turkey,,,,,,,col-sidebar,,"Bogdan Itsam Dorantes-Nikolaev, Yağmur Akbaş, Tan Bayav, Prof. Tuna Cakar",,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-mef-university,,,,,,,,"index.md, info.md, leaders.md",,,,,owaspmef,OWASP MEF University - Student Chapter,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/OSIB,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pakistan,,,,,,,col-sidebar,,"Danyal Ejaz, Muhammad Saad Khan, Muhammad Subtain, Salman Kazim",,,,,,,,owasp-swabi-chapter,,,,,,,,,,Asia,OWASP/www-chapter-swabi,,,https://www.facebook.com/owaspswabi/,https://www.linkedin.com/company/owaspswabi/,https://www.meetup.com/owasp-swabi-chapter/,,,"index.md, info.md, leaders.md",,,,,Swabi,OWASP Swabi,,,,
,,,,,"Breaker, Builder, Defender",,,https://github.com/OWASP/www-project-llm-verification-standard,,,,,https://github.com/OWASP/www-project-llm-verification-standard/releases/tag/0.1,,,col-sidebar,,"Vandana Verma Sehgal, Elliot Ward",2,,,,,,,,,,"The standard provides a basis for designing, building, and testing robust LLM backed applications",,,,Incubator,,,,OWASP/www-project-llm-verification-standard,Documentation,,,,,,,"index.md, info.md, leaders.md",,,,,llm builders defenders,OWASP LLM Security Verification Standard,documentation,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-hosur,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Hosur,,,,
,,,,,,,,,,,,,https://www.facebook.com/Pambosec,,,,,Keidi Francis,,,,,,,,,,,,,,,Production,,,,OWASP/www-project-ksecurity,,,,,,,,"info.md, leaders.md",,,,,,,,,,
,,,,,"Breaker, Builder",,,,,,,,,,,col-sidebar,,"Luca Pascal Rotsch, Aaron Guzman",2,CC BY-SA,,,,,,,,,The OWASP IoT Security Testing Guide provides a comprehensive methodology for penetration tests in the IoT field.,,,,Incubator,,,,OWASP/www-project-iot-security-testing-guide,,,,,,,,"index.md, info.md, leaders.md",,,,,istg,OWASP IoT Security Testing Guide,documentation,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-sa-engineering-college,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP SA Engineering College,,,,
,,,,,Builder,,,https://github.com/owasp-untrust,,,,,#,,,col-sidebar,,Yariv Tal,2,,,,,,,,,,"OWASP-Untrust replaces risky base programming constructs with secure, validated types (e.g., BoxedPath, BoundedString) to enforce safety and prevent vulnerabilities at the core.",,,,Incubator,,,,OWASP/www-project-untrust,Code,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP untrust,code,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Spyros Gasteratos,2,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-memory-safety,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Memory Safety Project,,,,
,,,,,,,,,,,,,https://github.com/owasp-dep-scan/dep-scan/releases,,,col-sidebar,,"Prabhu Subramanian, Caroline Russell, Tim Messing",2,MIT,,,,,,,,,"Next-generation security and risk audit tool based on known vulnerabilities, advisories, and license limitations for project dependencies.",,,,,,,,OWASP/www-project-dep-scan,,,,,,,,"index.md, info.md, leaders.md",,,,,"security-audit, sca, dependency-analysis, risk-audit, sbom, devsecops",OWASP dep-scan,tool,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Dr. Deevi Radha Rani, D S Bhupal Naik, Y Venkatesh, K Shanmukha Sai Kumar Reddy",,,,,,,,"OWASP Vignan Foundation for Science, Technology and Research.",,,,,,,,,,Asia,OWASP/www-chapter-vadlamudi,,,,,,,,"index.md, info.md, leaders.md",,,,,OWASP VFSTR,OWASP VFSTR Deemed to be University,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,Daniel Miessler,2,,,,,,,,,,"A very brief, one-line description of your project",,,,Incubator,,,,OWASP/www-project-ai-top-ten,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP AI Top Ten,,,,
,,,,,"Breaker, Builder, Defender",,,https://github.com/mantiumai/chirps,,,,,https://github.com/mantiumai/chirps/releases/latest,,,col-sidebar,,,2,,,,,,,,,,"Chirps is an open source, Django-based, Python web application that allows users to scan LLMs for Prompt Injection and search and scan vector databases for sensitive data.",,,,Incubator,,,,OWASP/www-project-chirps,,,,,https://www.meetup.com/columbus-generative-ai-and-society-meetup-group/,,,"index.md, info.md, leaders.md",,,,,chirps scanner,OWASP Chirps,tool,,aD7NHt_RW3I,Tzu0GewzmPQ
,,,,,,,,https://github.com/OWASP/www-chapter-wilmington-nc,USA,usd,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,North America,OWASP/www-chapter-wilmington-nc,,,https://www.facebook.com/groups/684855553291325/,https://www.linkedin.com/groups/14301784/,https://www.meetup.com/OWASP-Wilmington/,https://twitter.com/OWASPWilmington,https://www.youtube.com/channel/UC8hkj8GgknnsyB-b0D_zp3g,"index.md, info.md, leaders.md",,,,,wilmington,OWASP Wilmington NC,,,,
,,,,,,,,,Turkey,,,,,,,col-sidebar,,"Ahmet Kasif, Omer Faruk Kocaefe, Yusuf Talha Arabaci",,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-bursa-technical-university,,,,https://www.linkedin.com/company/owaspbursatechnicaluniversity/,https://www.meetup.com/owasp-bursa-technical-university/,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Bursa Technical University,,,,
,,,,,,,,,,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-georgetown-penang,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Georgetown Penang,,,,
,,,,,"Breaker, Builder, Defender",,,,,,,,,,,col-sidebar,,"Nick Lorenz, Tim Barsch",2,,,,,,,,,,Most common and critical Infrastructure Security Risks,,,,,,,,OWASP/www-project-top-10-infrastructure-security-risks,Documentation,,,,,,,"index.md, info.md, leaders.md",,,,,owasp top-10 threats infrastructure infrastructure-threats security risks infrastructure-security-risks,OWASP Top 10 Infrastructure Security Risks,,,,
,,,,,"Breaker, Builder",,,,,,,,#,,,col-sidebar,,K Srinivas Rao,2,,,,,,,,,,Bullet-Proof React is a comprehensive resource engineered to enhance the security of React and Node.js applications,,,,Incubator,,,,OWASP/www-project-bullet-proof-react,,,,,,,,"index.md, info.md, leaders.md",,,,,main,OWASP Bullet-proof React,,,,
,,,,,"Breaker, Builder",,,https://github.com/OWASP/OFFAT,,,,,https://github.com/OWASP/OFFAT/releases,,,col-sidebar,,Dhrumil Mistry,2,,,,,,,,,,Tests your API automatically for common API vulnerabilities after generating tests from provided openapi specification file.,,,,Incubator,,,,OWASP/OFFAT,,,,,,,,"index.md, info.md, leaders.md",,,,,api-security,OWASP OFFAT,"code, tool",,,
,,,,,,,,,Nigeria,,,,,,,col-sidebar,,,,,,,,,,,,,,,,,,,,Africa,OWASP/www-chapter-gwaram,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP Gwaram,,,,
,,,,,"Builder, Defender",,,,,,,,,,,col-sidebar,,"Tom Alrich, Tony Turner, Jeff Williams",2,,,,,,,,,,The SBOM Forum identifies and tries to find solutions to problems that are preventing widespread distribution and use of software bills of materials (SBOMs) by organizations whose primary business is not software development.,,,,Incubator,,,,OWASP/www-project-sbom-forum,,,,,,,,"index.md, info.md, leaders.md",,,,,example-tag,OWASP SBOM Forum,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Harsh Parashar, Shubham, Jitender Kumar",,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-jecrc-university,,,,,,,,"index.md, info.md, leaders.md",,,,,Security,OWASP JECRC University,,,,
,,,,,,,,,,,,,,,,event,,,,,,,,,,,,,,,,,,,,,OWASP/www-event-2023-test-event,,,,,,,,index.md,,,,,,Global AppSec Example 2020,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"NC Brintha - Faculty Advisor, Nipun Negi, Faizan Manzoor",,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-kalasalingam-academy-of-research-and-education,,,,https://www.linkedin.com/company/owasp-kare?trk=public_post_feed-actor-image,,,https://www.youtube.com/@KAREOWASPStudentChapter,"index.md, info.md, leaders.md",,,,,OWASP KARE,OWASP Kalasalingam Academy of Research and Education,,,,
,,,,,"Builder, Defender",,,https://github.com/OWASP/www-project-open-source-software-top-10,,,,,,,,col-sidebar,,"Varun Badhwar, George Apostolopoulos, Henrik Plate",2,CC BY-SA,,,,,,,,,Top-10 security and operational risks related to using OSS.,,,,Incubator,,,,OWASP/www-project-open-source-software-top-10,,,,https://www.linkedin.com/in/vbadhwar/,,,,"index.md, info.md, leaders.md",,,,,"top-10, open source, security, operations",OWASP Top 10 Risks for Open Source Software,documentation,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Suvam Debnath, Rashideo Benvansh",1,,,,,,,owasp-kalyan,,,,,,,,,,Asia,OWASP/www-chapter-kalyan,,,,,https://www.meetup.com/OWASP-kalyan-Chapter/,https://twitter.com/OWASP_kalyan,,"index.md, info.md, leaders.md",,,,,"application-security, cybersecurity",OWASP Kalyan,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWASP/security-bridge,,,,,,,,,,,,,,,,,,
,,,,,,,,,India,,,,,,,col-sidebar,,"Nirosh Kumar H, Shriram Krithik SS",,,,,,,,,,,,,,,,,,Asia,OWASP/www-chapter-kumaraguru-college-of-technology,,,,https://www.linkedin.com/company/,,,,"index.md, info.md, leaders.md",,,,,"OWASP-KCT Speakers, OWASP-KCT Upcoming Events, OWASP-KCT Past Events",OWASP Kumaraguru College of Technology - Student Chapter,,,,
